ZIP,"Latitude","Longitude","Accuracy Score","Accuracy Type","Address Line 1","Address Line 2","Address Line 3","House Number","Street","Unit Type","Unit Number","City","State","County","Postal Code","Country","Source"
59715-6628,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-6645,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-7150,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-7720,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8013,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8027,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8035,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8251,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8496,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8508,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8756,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-8793,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9220,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9241,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9322,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9330,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9352,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9368,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9628,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-9630,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
